stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3502,3502,Swain & Halleck Westbound,Swain And Halleck West Bound,,38.0005418,-121.3551878,0.0,,,,,0
3503,3503,Cumberland & Swain Northbound,Cumberland And Swain North Bound,,37.9999786,-121.3581613,0.0,,,,,0
3504,3504,Cumberland & Monitor Northbound,Cumberland And Monitor North Bound,CUMBERLAND PL & MONITOR CI S,38.0013278,-121.3595371,0.0,,,,,0
3505,3505,Cumberland & Harpers Ferry Northbound,Cumberland And Harpers Ferry North Bound,,38.0033825,-121.3609895,0.0,,,,,0
3449,3449,Mill Springs & Cumberland Eastbound,Mill Springs And Cumberland East Bound,,38.0083356,-121.3628528,0.0,,,,,0
3452,3452,Ben Holt & Grigsby Eastbound,Ben Holt And Grigsby East Bound,BENJAMIN HOLT & GRIGSBY NS/EB,38.0047708,-121.3531881,0.0,,,,,0
3789,3789,Meadow & Parkwoods Southbound,Meadow And Parkwoods South Bound,MEADOW & PARKWOODS NS SB & PARKWOODS DR,38.0169043,-121.3417638,,,,,,0
3790,3790,Meadow & Alexandria Southbound,Meadow And Alexandria South Bound,,38.0161251,-121.3395838,,,,,,0
3791,3791,Meadow & Larkspur Southbound,Meadow And Larkspur South Bound,,38.0159526,-121.3357151,,,,,,0
3792,3792,Meadow & Brentwood Southbound,Meadow And Brentwood South Bound,,38.0159836,-121.3321261,,,,,,0
3793,3793,Pershing & Lincoln Southbound,Pershing And Lincoln South Bound,PERSHING & LINCOLN ROAD NS SB,38.0139123,-121.3299885,0.0,,,,,0
3605,3605,Center & Fremont Southbound,Center And Fremont South Bound,,37.9576891,-121.2925738,0.0,,,,,0
3155,3155,Lincoln & Jackson Southbound,Lincoln And Jackson South Bound,,37.9397153,-121.2945166,0.0,,,,,0
7039,7039,Lincoln & Charter Southbound,Lincoln And Charter South Bound,,37.9372173,-121.2938491,0.0,,,,,0
3156,3156,Lincoln & French Camp Southbound,Lincoln And French Camp South Bound,LINCOLN ST & FRENCH CAMP RD,37.9344418,-121.2930551,0.0,,,,,0
3158,3158,Lincoln & Kohler Southbound,Lincoln And Kohler South Bound,,37.9313136,-121.2919206,0.0,,,,,0
3159,3159,Lincoln & 8Th Southbound,Lincoln And 8Th South Bound,,37.9280081,-121.2903261,0.0,,,,,0
3160,3160,8Th & French Camp Westbound,8Th And French Camp West Bound,,37.9271888,-121.2926575,0.0,,,,,0
3161,3161,Lever & Colorado Southbound,Lever And Colorado South Bound,,37.9241103,-121.2986608,0.0,,,,,0
3164,3164,Chicago & Alabama Eastbound,Chicago And Alabama East Bound,,37.92364,-121.2946175,0.0,,,,,0
3407,3407,8Th & Argonaut Eastbound,8Th And Argonaut East Bound,,37.9265746,-121.3023611,0.0,,,,,0
3399,3399,8Th & Capitola Westbound,8Th And Capitola West Bound,,37.9267121,-121.3078546,0.0,,,,,0
3400,3400,Dry Creek & Diablo Creek Southbound,Dry Creek And Diablo Creek South Bound,,37.9254542,-121.3103833,0.0,,,,,0
3350,3350,Harding & Rhode Island Eastbound,Harding And Rhode Island East Bound,HARDING WY & RHODE ISLAND AVE,37.9742761,-121.2576376,0.0,,,,,0
3827,3827,Waterloo & Sycamore Eastbound,Waterloo And Sycamore East Bound,,37.9689666,-121.2709636,,,,,,0
3725,3725,Fremont & Van Buren Westbound,Fremont And Van Buren West Bound,FREMONT ST & VAN BUREN ST,37.9567746,-121.2972938,0.0,,,,,0
7061,7061,Fremont & Pershing Eastbound,Fremont And Pershing East Bound,,37.9542564,-121.3114658,0.0,,,,,0
7072,7072,Feather River & March Southbound,Feather River And March South Bound,FEATHER RIVER & MARCH LANE NS SB,37.9856688,-121.3475891,0.0,,,,,0
4052,4052,Pershing & Marco Polo Southbound,Pershing And Marco Polo South Bound,,37.9921903,-121.3232815,0.0,,,,,0
4051,4051,Pershing & Venetian Southbound,Pershing And Venetian South Bound,PERSHING AVE & VENETIAN DR,37.9956486,-121.3245855,0.0,,,,,0
3622,3622,Kermit & Longview Northbound,Kermit And Longview North Bound,,38.0076383,-121.3020998,0.0,,,,,0
3636,3636,Kermit & Swain Southbound,Kermit And Swain South Bound,,38.0083288,-121.3025576,,,,,,0
3625,3625,Cordova & Kermit Westbound,Cordova And Kermit West Bound,CORDOVA LN & KERMIT LN,38.0162901,-121.3039413,0.0,,,,,0
3626,3626,Villa & Cordova Northbound,Villa And Cordova North Bound,,38.0164648,-121.3068433,0.0,,,,,0
3627,3627,Villa & Murillo Northbound,Villa And Murillo North Bound,,38.0172818,-121.3076173,0.0,,,,,0
3631,3631,Villa & Goya Southbound,Villa And Goya South Bound,,38.0181763,-121.3085483,0.0,,,,,0
3629,3629,Los Molinas & Goya Northbound,Los Molinas And Goya North Bound,,38.0186678,-121.3070558,,,,,,0
7136,7136,Los Molinas & Prado Northbound,Los Molinas And Prado North Bound,,38.0201931,-121.3070449,,,,,,0
7166,7166,Hammer & West Lane Frontage Eastbound,Hammer And West Lane Frontage East Bound,,38.0207298,-121.2921825,0.0,,,,,0
3333,3333,Kentfield & Gateway Northbound,Kentfield And Gateway North Bound,,37.9973348,-121.3030628,0.0,,,,,0
3313,3313,Hammertown & Montauban Eastbound,Hammertown And Montauban East Bound,,38.0164923,-121.2884353,0.0,,,,,0
3312,3312,Hammertown & West Lane Eastbound,Hammertown And West Lane East Bound,,38.0165233,-121.2933525,0.0,,,,,0
